"IDYEARS","REGIONGROUP","LABEL_REGIONGROUP","CAT","HEALTHCARE_RATIO","PRODUCTIVITY_RATIO","DISUTILITY_RATIO","PRODUCTIVITY_DISUTILITY_RATIO","REGION_4LETTER","REGION_4LETTER_LABEL","ISO3","COUNTRY"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","MTQ","Martinique"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","PRI","Puerto Rico"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","SUR","Suriname"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","TTO","Trinidad and Tobago"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","VCT","Saint Vincent and the Grenadines"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","VIR","United States Virgin Islands"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CEAM","Central America","BLZ","Belize"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CEAM","Central America","CRI","Costa Rica"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CEAM","Central America","GTM","Guatemala"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CEAM","Central America","HND","Honduras"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CEAM","Central America","NIC","Nicaragua"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CEAM","Central America","PAN","Panama"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CEAM","Central America","SLV","El Salvador"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CHIL","Chile","CHL","Chile"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"COLO","Colombia","COL","Colombia"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"ECUA","Ecuador","ECU","Ecuador"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"MEXI","Mexico","MEX","Mexico"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"PARA","Paraguay","PRY","Paraguay"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"PERU","Peru","PER","Peru"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"URUG","Uruguay","URY","Uruguay"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"VENE","Venezuela (Bolivarian Republic of)","VEN","Venezuela (Bolivarian Republic of)"
2025,"MEA","Middle East","MORB",NA,NA,NA,NA,"ISRA","Israel","ISR","Israel"
2025,"MEA","Middle East","MORB",NA,NA,NA,NA,"MIDE","Middle East","ARE","United Arab Emirates"
2025,"MEA","Middle East","MORB",NA,NA,NA,NA,"MIDE","Middle East","BHR","Bahrain"
2025,"MEA","Middle East","MORB",NA,NA,NA,NA,"MIDE","Middle East","IRQ","Iraq"
2025,"MEA","Middle East","MORB",NA,NA,NA,NA,"MIDE","Middle East","JOR","Jordan"
2025,"MEA","Middle East","MORB",NA,NA,NA,NA,"MIDE","Middle East","KWT","Kuwait"
2025,"MEA","Middle East","MORB",NA,NA,NA,NA,"MIDE","Middle East","LBN","Lebanon"
2025,"MEA","Middle East","MORB",NA,NA,NA,NA,"MIDE","Middle East","OMN","Oman"
2025,"MEA","Middle East","MORB",NA,NA,NA,NA,"MIDE","Middle East","PSE","Occupied Palestinian Territory"
2025,"MEA","Middle East","MORB",NA,NA,NA,NA,"MIDE","Middle East","QAT","Qatar"
2025,"MEA","Middle East","MORB",NA,NA,NA,NA,"MIDE","Middle East","SYR","Syrian Arab Republic"
2025,"MEA","Middle East","MORB",NA,NA,NA,NA,"MIDE","Middle East","YEM","Yemen"
2025,"MEA","Middle East","MORB",NA,NA,NA,NA,"SAAR","Saudi Arabia","SAU","Saudi Arabia"
2025,"MEA","Middle East","MORT",NA,NA,NA,NA,"ISRA","Israel","ISR","Israel"
2025,"MEA","Middle East","MORT",NA,NA,NA,NA,"MIDE","Middle East","ARE","United Arab Emirates"
2025,"MEA","Middle East","MORT",NA,NA,NA,NA,"MIDE","Middle East","BHR","Bahrain"
2025,"MEA","Middle East","MORT",NA,NA,NA,NA,"MIDE","Middle East","IRQ","Iraq"
2025,"MEA","Middle East","MORT",NA,NA,NA,NA,"MIDE","Middle East","JOR","Jordan"
2025,"MEA","Middle East","MORT",NA,NA,NA,NA,"MIDE","Middle East","KWT","Kuwait"
2025,"MEA","Middle East","MORT",NA,NA,NA,NA,"MIDE","Middle East","LBN","Lebanon"
2025,"MEA","Middle East","MORT",NA,NA,NA,NA,"MIDE","Middle East","OMN","Oman"
2025,"MEA","Middle East","MORT",NA,NA,NA,NA,"MIDE","Middle East","PSE","Occupied Palestinian Territory"
2025,"MEA","Middle East","MORT",NA,NA,NA,NA,"MIDE","Middle East","QAT","Qatar"
2025,"MEA","Middle East","MORT",NA,NA,NA,NA,"MIDE","Middle East","SYR","Syrian Arab Republic"
2025,"MEA","Middle East","MORT",NA,NA,NA,NA,"MIDE","Middle East","YEM","Yemen"
2025,"MEA","Middle East","MORT",NA,NA,NA,NA,"SAAR","Saudi Arabia","SAU","Saudi Arabia"
2025,"NAF","North Africa","MORB",NA,NA,NA,NA,"EGYP","Egypt","EGY","Egypt"
2025,"NAF","North Africa","MORB",NA,NA,NA,NA,"IRAN","Iran","IRN","Iran"
2025,"NAF","North Africa","MORB",NA,NA,NA,NA,"NAFR","Northern Africa (excl Egypt)","DZA","Algeria"
2025,"NAF","North Africa","MORB",NA,NA,NA,NA,"NAFR","Northern Africa (excl Egypt)","ESH","Western Sahara"
2025,"NAF","North Africa","MORB",NA,NA,NA,NA,"NAFR","Northern Africa (excl Egypt)","LBY","Libyan Arab Jamahiriya"
2025,"NAF","North Africa","MORB",NA,NA,NA,NA,"NAFR","Northern Africa (excl Egypt)","MAR","Morocco"
2025,"NAF","North Africa","MORB",NA,NA,NA,NA,"NAFR","Northern Africa (excl Egypt)","TUN","Tunisia"
2025,"NAF","North Africa","MORT",NA,NA,NA,NA,"EGYP","Egypt","EGY","Egypt"
2025,"NAF","North Africa","MORT",NA,NA,NA,NA,"IRAN","Iran","IRN","Iran"
2025,"NAF","North Africa","MORT",NA,NA,NA,NA,"NAFR","Northern Africa (excl Egypt)","DZA","Algeria"
2025,"NAF","North Africa","MORT",NA,NA,NA,NA,"NAFR","Northern Africa (excl Egypt)","ESH","Western Sahara"
2025,"NAF","North Africa","MORT",NA,NA,NA,NA,"NAFR","Northern Africa (excl Egypt)","LBY","Libyan Arab Jamahiriya"
2025,"NAF","North Africa","MORT",NA,NA,NA,NA,"NAFR","Northern Africa (excl Egypt)","MAR","Morocco"
2025,"NAF","North Africa","MORT",NA,NA,NA,NA,"NAFR","Northern Africa (excl Egypt)","TUN","Tunisia"
2025,"NAM","North America","MORB",NA,NA,NA,NA,"CANA","Canada","CAN","Canada"
2025,"NAM","North America","MORB",NA,NA,NA,NA,"USAM","United States of America","USA","United States of America"
2025,"NAM","North America","MORT",NA,NA,NA,NA,"CANA","Canada","CAN","Canada"
2025,"NAM","North America","MORT",NA,NA,NA,NA,"USAM","United States of America","USA","United States of America"
2025,"OCE","Oceania","MORB",NA,NA,NA,NA,"AUTR","Australia","AUS","Australia"
2025,"OCE","Oceania","MORB",NA,NA,NA,NA,"BRUN","Brunei Darussalam","BRN","Brunei Darussalam"
2025,"OCE","Oceania","MORB",NA,NA,NA,NA,"JAPA","Japan","JPN","Japan"
2025,"OCE","Oceania","MORB",NA,NA,NA,NA,"KORS","Republic of Korea","KOR","Republic of Korea"
2025,"OCE","Oceania","MORB",NA,NA,NA,NA,"NZEL","New Zealand","NZL","New Zealand"
2025,"OCE","Oceania","MORB",NA,NA,NA,NA,"SING","Singapore","SGP","Singapore"
2025,"OCE","Oceania","MORB",NA,NA,NA,NA,"TAIW","Taiwan","TWN","Taiwan"
2025,"OCE","Oceania","MORT",NA,NA,NA,NA,"AUTR","Australia","AUS","Australia"
2025,"OCE","Oceania","MORT",NA,NA,NA,NA,"BRUN","Brunei Darussalam","BRN","Brunei Darussalam"
2025,"OCE","Oceania","MORT",NA,NA,NA,NA,"JAPA","Japan","JPN","Japan"
2025,"OCE","Oceania","MORT",NA,NA,NA,NA,"KORS","Republic of Korea","KOR","Republic of Korea"
2025,"OCE","Oceania","MORT",NA,NA,NA,NA,"NZEL","New Zealand","NZL","New Zealand"
2025,"OCE","Oceania","MORT",NA,NA,NA,NA,"SING","Singapore","SGP","Singapore"
2025,"OCE","Oceania","MORT",NA,NA,NA,NA,"TAIW","Taiwan","TWN","Taiwan"
2025,"RUS","Russian Federation","MORB",NA,NA,NA,NA,"RUSS","Russian Federation","RUS","Russian Federation"
2025,"RUS","Russian Federation","MORT",NA,NA,NA,NA,"RUSS","Russian Federation","RUS","Russian Federation"
2025,"SAF","Southern Africa","MORB",NA,NA,NA,NA,"RSAF","Remaining Southern Africa","AGO","Angola"
2025,"SAF","Southern Africa","MORB",NA,NA,NA,NA,"RSAF","Remaining Southern Africa","BWA","Botswana"
