SCEN_LABEL_H,SCEN_LABEL_L,IDYEARS,REGIONGROUP,LABEL_REGIONGROUP,DELTA_COST_HEALTHCARE_MUSD2017_PPP_MORB,DELTA_COST_HEALTHCARE_MUSD2017_PPP_MORT,DELTA_COST_PRODUCTIVITY_MUSD2017_PPP_MORB,DELTA_COST_PRODUCTIVITY_MUSD2017_PPP_MORT,DELTA_COST_DISUTILITY_MUSD2017_PPP_MORB,DELTA_COST_DISUTILITY_MUSD2017_PPP_MORT
Baseline,Integrated Action,2090,CHI,Centrally Planned Asia,409302.4,0,590325.5,711.7,1044746.1,2638114.6
Baseline,Integrated Action,2090,EAS,South East Asia,119060.1,0,216479.9,13577.4,395408.9,1213933.2
Baseline,Integrated Action,2090,EUR,"EU, EFTA, UK",79336.3,0,57248.6,657.6,99997.1,188204.6
Baseline,Integrated Action,2090,LAC,Latin America & Caribbean,250337.1,0,229025,5035.5,350123.8,853749.7
Baseline,Integrated Action,2090,MEA,Middle East,64324,0,89073.4,1672.9,184441.4,473292
Baseline,Integrated Action,2090,NAF,North Africa,85585.2,0,133192,6183.3,265862.5,759701.4
Baseline,Integrated Action,2090,NAM,North America,178506.6,0,96351.2,2312.2,144299.1,285321.5
Baseline,Integrated Action,2090,OCE,Oceania,76164.5,0,67677,520,116915.3,274471.2
Baseline,Integrated Action,2090,RUS,Russian Federation,14173.9,0,13629.5,1403.4,32151,85731.2
Baseline,Integrated Action,2090,SAF,Southern Africa,11194.7,0,19763.6,85469.5,30593.5,1453145.9
Baseline,Integrated Action,2090,SAS,South Asia,357656.7,0,664835.2,418860.7,1168789.8,7631062
Baseline,Integrated Action,2090,SSA,Sub-Saharan Africa,34157.2,0,75098.1,137262.2,113908.6,914220.1
Baseline,Integrated Action,2090,WAS,Western Asia,27318.7,0,46951.8,628.4,83621.8,187210.3
Baseline,Integrated Action,2090,WBK,West Balkan,2840.3,0,2259.4,62,4483.2,8354.2
Baseline,Integrated Action,2090,NA,Global,1716274.4,0,2309550.9,675719.1,4050929.3,17009833.6
Baseline,Integrated Action,2100,CAS,Central Asia,9699,0,11669,1148,23339,67444
Baseline,Integrated Action,2100,CHI,Centrally Planned Asia,454203,0,659888,547,1144838,2971572
Baseline,Integrated Action,2100,EAS,South East Asia,148387,0,269307,11207,480890,1534616
Baseline,Integrated Action,2100,EUR,"EU, EFTA, UK",93597,0,68038,399,118145,221186
Baseline,Integrated Action,2100,LAC,Latin America & Caribbean,330879,0,302883,3667,458320,1123235
Baseline,Integrated Action,2100,MEA,Middle East,89489,0,126459,1337,256648,693784
Baseline,Integrated Action,2100,NAF,North Africa,131775,0,208041,4924,401538,1241178
Baseline,Integrated Action,2100,NAM,North America,210568,0,113276,1551,168902,342649
Baseline,Integrated Action,2100,OCE,Oceania,82919,0,72996,359,127231,292637
Baseline,Integrated Action,2100,RUS,Russian Federation,19147,0,18410,1146,43064,116829
Baseline,Integrated Action,2100,SAF,Southern Africa,19751,0,33660,50147,52947,1230473
Baseline,Integrated Action,2100,SAS,South Asia,462333,0,842267,358747,1454939,9662639
Baseline,Integrated Action,2100,SSA,Sub-Saharan Africa,63710,0,134320,105433,208803,1317262
Baseline,Integrated Action,2100,WAS,Western Asia,31890,0,54717,466,96161,219229
Baseline,Integrated Action,2100,WBK,West Balkan,3665,0,2908,43,5790,10491
Baseline,Integrated Action,2100,NA,Global,2152012,0,2918839,541121,5041555,21045224
