"IDSCENARIOS","IDYEARS","REGION_4LETTER","POPULATION","GDP_GUSD2017_PPP","CO2 Mt CO2/yr","CH4 kt/yr","PM25_TOTAL","PM25_SELF","PM25_EXPORT","AP_CONTROL_COSTS_MEUR2015","AP_PLUS_CH4_CONTROL_COSTS_MEUR2015"
"Delayed Action",2025,"EGYP",116005300,1608.55,43231,357567.618,35.656,11.382,1.416,NA,NA
"Delayed Action",2025,"ESTO",1347600,51.184,43231,357567.618,4.652,1.81,0.093,NA,NA
"Delayed Action",2025,"FINL",5536600,281.888,43231,357567.618,3.328,1.296,0.243,NA,NA
"Delayed Action",2025,"FRAN",65109800,3207.38,43231,357567.618,7.623,4.528,8.147,NA,NA
"Delayed Action",2025,"GEOR",3622000,74.022,43231,357567.618,15.172,8.74,0.337,NA,NA
"Delayed Action",2025,"GERM",83602200,4595.24,43231,357567.618,7.264,3.738,14.341,NA,NA
"Delayed Action",2025,"GREE",10364500,355.738,43231,357567.618,11.062,4.411,1.057,NA,NA
"Delayed Action",2025,"HUNG",9592200,356.484,43231,357567.618,11.772,5.172,3.608,NA,NA
"Delayed Action",2025,"ICEL",376500,23.243,43231,357567.618,3.46,2.135,0.026,NA,NA
"Delayed Action",2025,"INDI",1445479600,11813.6,43231,357567.618,46.44,33.407,39.466,NA,NA
"Delayed Action",2025,"INDO",280692700,3967.11,43231,357567.618,19.822,19.223,2.018,NA,NA
"Delayed Action",2025,"IRAN",90692700,1473.82,43231,357567.618,56.443,21.599,2.037,NA,NA
"Delayed Action",2025,"IREL",5124500,597.738,43231,357567.618,3.758,1.3,0.265,NA,NA
"Delayed Action",2025,"ISRA",9371700,461.237,43231,357567.618,28.505,11.519,1.031,NA,NA
"Delayed Action",2025,"ITAL",58929300,2678.69,43231,357567.618,12.29,8.146,4.845,NA,NA
"Delayed Action",2025,"JAPA",122472800,5419.11,43231,357567.618,6.779,4.308,0.093,NA,NA
"Delayed Action",2025,"KAZA",19790300,582.083,43231,357567.618,43.099,33.473,3.912,NA,NA
"Delayed Action",2025,"KENY",56832600,307.035,43231,357567.618,12.11,7.734,0.326,NA,NA
"Delayed Action",2025,"KORN",NA,NA,43231,357567.618,11.672,4.299,0.949,NA,NA
"Delayed Action",2025,"KORS",51500500,2490.03,43231,357567.618,20.157,10.818,0.694,NA,NA
"Delayed Action",2025,"KYRG",6897400,39.495,43231,357567.618,18.135,9.44,1.366,NA,NA
"Delayed Action",2025,"LAOS",7767700,65.644,43231,357567.618,8.541,1.569,0.286,NA,NA
"Delayed Action",2025,"LATV",1836300,64.826,43231,357567.618,7.023,3.467,0.259,NA,NA
"Delayed Action",2025,"LITH",2725200,118.114,43231,357567.618,6.805,2.466,0.567,NA,NA
"Delayed Action",2025,"LUXE",655300,79.798,43231,357567.618,7.109,1.285,0.089,NA,NA
"Delayed Action",2025,"MACE",2095400,38.439,43231,357567.618,15.383,8.771,0.583,NA,NA
