"IDSCENARIOS","IDYEARS","REGION_4LETTER","REGION_4LETTER_LABEL","PM25_ANTHROP","PM25_SELF","PM25_EXPORT"
"Baseline",2030,"NORW","Norway",2.38,1.007,0.215
"Baseline",2030,"NZEL","New Zealand",1.33,1.277,0
"Baseline",2030,"PAKI","Pakistan",49.01,43.668,6.697
"Baseline",2030,"PARA","Paraguay",4.45,3.505,0.023
"Baseline",2030,"PERU","Peru",10.5,10.244,0.181
"Baseline",2030,"PHIL","Philippines",9.91,9.831,0.549
"Baseline",2030,"POLA","Poland",9.51,6.312,9.498
"Baseline",2030,"PORT","Portugal",5.49,3.329,0.095
"Baseline",2030,"ROMA","Romania",11.82,7.999,4.909
"Baseline",2030,"RSAF","Remaining Southern Africa",5.29,4.974,0.725
"Baseline",2030,"RUSS","Russian Federation",7.82,5.979,7.103
"Baseline",2030,"SAAR","Saudi Arabia",7.25,4.332,1.351
"Baseline",2030,"SAFR","South Africa",7.13,6.571,0.287
"Baseline",2030,"SERB","Serbia",13.9,9.141,6.21
"Baseline",2030,"SING","Singapore",11.78,2.031,0.356
"Baseline",2030,"SKRE","Slovakia",7.21,2.087,1.203
"Baseline",2030,"SLOV","Slovenia",11.29,6.838,0.936
"Baseline",2030,"SPAI","Spain",5.55,3.285,0.98
"Baseline",2030,"SRIL","Sri Lanka",7.51,6.958,0.006
"Baseline",2030,"SWED","Sweden",3.14,0.948,0.435
"Baseline",2030,"SWIT","Switzerland",6.28,3.503,0.552
"Baseline",2030,"TAIW","Taiwan",14.9,13.153,0.065
"Baseline",2030,"TANZ","United Republic of Tanzania",6.28,5.891,0.447
"Baseline",2030,"THAI","Thailand",10.78,9.258,2.927
"Baseline",2030,"TURK","Turkey",13.84,10.825,5.938
"Baseline",2030,"UKRA","Ukraine",7.79,4.213,6.634
"Baseline",2030,"UNKI","United Kingdom",4.51,2.783,3.279
"Baseline",2030,"URUG","Uruguay",3.64,3.159,0.199
"Baseline",2030,"USAM","United States of America",5.03,4.727,1.623
"Baseline",2030,"VENE","Venezuela (Bolivarian Republic of)",6.59,6.364,0.187
"Baseline",2030,"VIET","Vietnam",21.3,18.352,3.566
"Baseline",2030,"WAFR","Western Africa (excl Nigeria)",7.63,6.844,0.323
"Decarb",2030,"AFGH","Afghanistan",8.37,8.151,0.393
"Decarb",2030,"ALBA","Albania",5.36,2.847,0.221
"Decarb",2030,"ARGE","Argentina",1.26,1.065,0.135
"Decarb",2030,"ARME","Armenia",5.65,3.115,0.235
"Decarb",2030,"AUST","Austria",3.63,1.362,0.998
"Decarb",2030,"AUTR","Australia",1,0.92,0.018
"Decarb",2030,"AZER","Azerbaijan",4.17,1.642,0.548
"Decarb",2030,"BANG","Bangladesh",14.8,9.022,0.554
"Decarb",2030,"BELA","Belarus",3.46,1.227,0.482
"Decarb",2030,"BELG","Belgium",4.4,1.541,1.204
"Decarb",2030,"BHUT","Bhutan",3.16,1.427,0.092
"Decarb",2030,"BOHE","Bosnia and Herzegovina",6.08,3.743,0.842
"Decarb",2030,"BOLV","Bolivia (Plurinational State of)",0.9,0.852,0.001
"Decarb",2030,"BRAZ","Brazil",1.95,1.886,0.484
"Decarb",2030,"BRUN","Brunei Darussalam",1.93,1.134,0.044
"Decarb",2030,"BULG","Bulgaria",4.54,2.171,0.48
"Decarb",2030,"CAMB","Cambodia",1.8,0.975,0.074
"Decarb",2030,"CANA","Canada",2.64,1.915,0.097
"Decarb",2030,"CARB","Caribbean",1.09,0.951,0.048
"Decarb",2030,"CEAM","Central America",1.61,1.55,0.005
"Decarb",2030,"CHIL","Chile",7.46,7.4,0.11
"Decarb",2030,"CHIN","China",12.26,11.636,8.038
"Decarb",2030,"COLO","Colombia",2.28,2.169,0.007
"Decarb",2030,"CROA","Croatia",4.64,1.753,0.768
"Decarb",2030,"CYPR","Cyprus",4.36,0.266,0.001
"Decarb",2030,"CZRE","Czech Republic",5.26,2.944,1.776
"Decarb",2030,"DENM","Denmark",2.83,0.851,0.292
"Decarb",2030,"EAFR","Eastern Africa (excl Kenya, Tanzania)",1.12,0.887,0.06
"Decarb",2030,"ECUA","Ecuador",1.29,1.195,0.003
"Decarb",2030,"EGYP","Egypt",4.94,3.998,0.54
"Decarb",2030,"ESTO","Estonia",2.33,0.666,0.03
"Decarb",2030,"FINL","Finland",1.99,0.652,0.106
"Decarb",2030,"FRAN","France",3.97,2.38,4.09
"Decarb",2030,"GEOR","Georgia",3.93,2.187,0.201
"Decarb",2030,"GERM","Germany",3.51,1.737,5.917
"Decarb",2030,"GREE","Greece",5.25,2.271,0.38
"Decarb",2030,"HUNG","Hungary",5.94,3.178,1.862
"Decarb",2030,"ICEL","Iceland",2.48,1.627,0.022
"Decarb",2030,"INDI","India",10,8.592,11.773
"Decarb",2030,"INDO","Indonesia",10.29,10.093,0.924
"Decarb",2030,"IRAN","Iran",7.13,6.845,0.733
"Decarb",2030,"IREL","Ireland",1.78,0.62,0.119
"Decarb",2030,"ISRA","Israel",4.93,4.009,0.275
"Decarb",2030,"ITAL","Italy",6.11,3.769,2.182
"Decarb",2030,"JAPA","Japan",3.38,2.616,0.018
"Decarb",2030,"KENY","Kenya",1.93,1.827,0.072
"Decarb",2030,"KORS","Republic of Korea",10.52,6.114,0.46
"Decarb",2030,"KOSO","Kosovo",8.9,6.505,0.392
"Decarb",2030,"LAOS","Laos",1.53,0.484,0.075
"Decarb",2030,"LATV","Latvia",3.4,1.577,0.129
"Decarb",2030,"LITH","Lithuania",3.07,0.966,0.191
"Decarb",2030,"LUXE","Luxembourg",3.51,0.697,0.041
"Decarb",2030,"MACE","TFYR Macedonia",5.37,3.185,0.374
"Decarb",2030,"MALA","Malaysia",7.31,6.809,2.127
"Decarb",2030,"MALT","Malta",6.21,0.439,0
"Decarb",2030,"MEXI","Mexico",3.18,3.055,0.016
"Decarb",2030,"MIDE","Middle East",2.42,1.752,1.057
"Decarb",2030,"MOLD","Republic of Moldova",4.7,1.829,0.128
"Decarb",2030,"MONG","Mongolia",7.17,7.071,0.049
"Decarb",2030,"MONT","Montenegro",5.48,3.131,0.063
"Decarb",2030,"MYAN","Myanmar",2.1,1.381,0.097
"Decarb",2030,"NAFR","Northern Africa (excl Egypt)",3.07,2.547,0.138
"Decarb",2030,"NEPA","Nepal",9.12,5.09,0.464
"Decarb",2030,"NETH","Netherlands",4.55,1.562,1.066
"Decarb",2030,"NIGE","Nigeria",1.98,1.848,0.178
"Decarb",2030,"NORW","Norway",1.73,0.59,0.088
"Decarb",2030,"NZEL","New Zealand",0.57,0.512,0
"Decarb",2030,"PAKI","Pakistan",10.04,8.578,1.44
"Decarb",2030,"PARA","Paraguay",1.22,0.868,0.006
"Decarb",2030,"PERU","Peru",3.07,2.865,0.079
"Decarb",2030,"PHIL","Philippines",2.4,2.318,0.154
"Decarb",2030,"POLA","Poland",4.96,3.035,4.003
"Decarb",2030,"PORT","Portugal",3.93,2.035,0.046
"Decarb",2030,"ROMA","Romania",6.9,4.778,2.412
"Decarb",2030,"RSAF","Remaining Southern Africa",0.83,0.686,0.124
"Decarb",2030,"RUSS","Russian Federation",3.8,2.39,2.163
"Decarb",2030,"SAAR","Saudi Arabia",1.69,0.816,0.311
"Decarb",2030,"SAFR","South Africa",2.47,2.332,0.125
"Decarb",2030,"SERB","Serbia",5.86,3.337,2.182
"Decarb",2030,"SING","Singapore",3.15,0.715,0.162
"Decarb",2030,"SKRE","Slovakia",4.18,1.35,0.593
"Decarb",2030,"SLOV","Slovenia",5.2,2.51,0.365
"Decarb",2030,"SPAI","Spain",3.89,1.799,0.505
"Decarb",2030,"SRIL","Sri Lanka",1.59,1.37,0.001
"Decarb",2030,"SWED","Sweden",2.32,0.752,0.275
"Decarb",2030,"SWIT","Switzerland",3.86,2.047,0.346
"Decarb",2030,"TAIW","Taiwan",6.11,4.929,0.029
"Decarb",2030,"TANZ","United Republic of Tanzania",1.08,1.002,0.092
"Decarb",2030,"THAI","Thailand",2.55,2.011,0.586
"Decarb",2030,"TURK","Turkey",6.25,3.786,1.253
"Decarb",2030,"UKRA","Ukraine",3.45,1.254,1.653
"Decarb",2030,"UNKI","United Kingdom",2.96,1.732,1.874
"Decarb",2030,"URUG","Uruguay",1.07,0.871,0.064
"Decarb",2030,"USAM","United States of America",2.37,2.199,0.674
"Decarb",2030,"VENE","Venezuela (Bolivarian Republic of)",2.22,2.102,0.07
"Decarb",2030,"VIET","Vietnam",6.3,5.006,1.034
"Decarb",2030,"WAFR","Western Africa (excl Nigeria)",1.63,1.447,0.076
"Baseline",2035,"AFGH","Afghanistan",60.42,59.573,2.468
"Baseline",2035,"ALBA","Albania",10.21,6.707,0.767
"Baseline",2035,"ARGE","Argentina",3.31,2.831,0.38
"Baseline",2035,"ARME","Armenia",10.15,6.366,0.477
"Baseline",2035,"AUST","Austria",5.12,1.969,1.512
"Baseline",2035,"AUTR","Australia",1.96,1.876,0.047
"Baseline",2035,"AZER","Azerbaijan",7.74,4.247,1.366
"Baseline",2035,"BANG","Bangladesh",53.78,34.051,1.708
"Baseline",2035,"BELA","Belarus",7.17,3.736,1.492
"Baseline",2035,"BELG","Belgium",6.38,2.379,1.913
"Baseline",2035,"BHUT","Bhutan",13.28,7.448,0.666
"Baseline",2035,"BOHE","Bosnia and Herzegovina",11.74,8.498,1.994
"Baseline",2035,"BOLV","Bolivia (Plurinational State of)",3.15,3.039,0.004
"Baseline",2035,"BRAZ","Brazil",5.87,5.806,1.323
"Baseline",2035,"BRUN","Brunei Darussalam",5.49,3.273,0.116
"Baseline",2035,"BULG","Bulgaria",7.17,3.404,1.122
"Baseline",2035,"CAMB","Cambodia",8.35,5.598,0.27
"Baseline",2035,"CANA","Canada",6.3,4.838,0.202
"Baseline",2035,"CARB","Caribbean",4.07,3.914,0.191
"Baseline",2035,"CEAM","Central America",7.16,7.059,0.023
"Baseline",2035,"CHIL","Chile",15.91,15.801,0.169
"Baseline",2035,"CHIN","China",22.96,22.085,15.101
"Baseline",2035,"COLO","Colombia",6.52,6.27,0.029
"Baseline",2035,"CROA","Croatia",6.96,2.608,1.307
